authors,bestsellers_rank,categories,description,length,height,width,format,id,image_url,isbn10,isbn13,lang,publication_date,rating_avg,rating_count,title,weight
[6654],1260574,"[292, 302]","Intentions is a collection of works about British arts and drama by Oscar Wilde which includes the following selections: The Decay of Lying Pen, Pencil, and Poison The Critic as Artist The Truth of Masks",152.0,229.0,8.0,1,9781517778149,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5177/9781517778149.jpg,151777814X,9781517778149,en,2015-10-12,3.9,558,Intentions (annotated),218.0
[225689],106665,"[218, 233, 1011]","In 1970 Jerry Della Femina wrote this gossip-filled, insider's account of working on Madison Avenue",129.0,198.0,18.0,1,9781847679536,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8476/9781847679536.jpg,1847679536,9781847679536,en,2011-08-08,3.38,766,From Those Wonderful Folks Who Gave You Pearl Harbor : Front-Line Dispatches from the Advertising War,202.0
[414695],286950,"[3191, 3194]","A timely addition to literature on the holy book of Islam, this translation provides the Arabic text as well as extensive explanations and interpretations on most verses. The use of modern English both in the translation and the commentaries, and the focus on social and historical aspects of Islam in the commentaries and appendices make the translation particularly accessible.",165.0,235.0,44.45,2,9781597840002,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5978/9781597840002.jpg,1597840009,9781597840002,en,2007-04-01,4.35,58556,Qur'an : with Annotated Interpretation in Modern English,1612.0
[1900],1507448,"[2812, 2452]","What was your best birthday? Who is your strangest family member? What is your greatest fear about falling in love? What is the craziest thing you've ever done? My Story is a one-of-a-kind keepsake that asks funny, loving, and tough personal questions and provides space for special photos and memories.",175.0,217.0,22.86,2,9781934386286,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9343/9781934386286.jpg,1934386286,9781934386286,en,2009-01-01,4.5,2,My Story,369.0
[73451],20834,"[2942, 2948]","Bedtime bookworms will love snuggling up and listening to their favourite story in a cosy hooded blanket. Bring storytime to life as they act out the characters - will they be a goodie or a baddie, Little Red Riding Hood or the wolf?",204.0,260.0,9.0,1,9781782216926,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7822/9781782216926.jpg,1782216928,9781782216926,en,2020-06-16,4.6,5,Fairytale Blankets to Crochet : 10 Fantasy-Themed Children's Blankets for Storytime Cuddles,492.0
"[86850, 54509]",1581317,"[256, 281, 750, 810, 3355, 834, 3379, 2558]","Fourth-graders around the country face new, high-stakes standardized tests, drawing increased attention to the need for effective literacy instruction in the upper-elementary grades. This essential book goes beyond political catch-phrases to examine what actually works in the fourth-grade classroom. After reviewing current research on upper-elementary reading instruction, the book takes readers directly into the classrooms of six highly successful teachers. Like the previously published Learning to Read, which focused on the first grade, Reading to Learn offers a rare view of the techniques and strategies good teachers use to engage students, help them develop as thoughtful readers and writers, and bolster self-directed learning and literate conversation. Bringing to life the complexities of day-to-day work with diverse students, the book provides inspiration and practical ideas for any teacher in the upper-elementary grades.",152.0,229.0,18.29,1,9781572307629,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5723/9781572307629.jpg,1572307625,9781572307629,en,2002-07-25,3.84,19,Reading to Learn : Lessons from Exemplary Fourth-Grade Classrooms,376.0
[616325],1141560,"[2999, 3087]","WORKING TERRIERS THEIR MANAGEMENT, TRAINING AND WORK ETC.. BY J.C. BRISTOW-NOBLE This rare book was one of the few early 20th century dog books to deal solely with the true `Working Terrier'. Now very scarce and much sought after in its original limited edition, it has been reprinted by Read Country Books in a high quality hard back format. Written by an expert in both breeding and working terriers, the book is packed with practical advice, and includes many original photographs of terriers in action against a variety of quarry. J.C. Bristow-Noble was well known in his time as a breeder of top quality sporting terriers. He spent many years experimenting with cross-breeding Fox terriers and Sealyhams with other dog breeds and occasionally with famous mongrel terriers, before finally concentrating on Jack Russell terriers, always keeping the description of Russell's famous ""Trump"" in his mind's eye. His ideal sporting terrier for entering to badger, fox and other quarry was a thick-set 14 pound (lb), hard/dense coated dog with a muzzle of moderate length and an even and fairly thick jaw bone. This rule of thumb eventually led to him owning a kennel of working dogs second to none and well-known throughout the country. His terriers were regularly sold for sums in excess of 50.00 - an enormous sum of money in the early 1900s. His stud dogs were also much in demand even at his minimum stud fee of 10 guineas. CONTENTS: THE CORRECT TYPE OF WORKING TERRIER RATTING BADGER HUNTING ON THE USE OF TERRIERS AGAINST: OTTER FOX STOAT RABBIT ON THE USE OF TERRIERS AGAINST MOLES ON THE CARE, CHOICE AND CORRECT USE OF FERRETS SOME DISEASES AND THEIR TREATMENT Read Country Books have reprinted this important working terrier book in a high quality hardback format, with photo-illustrated dust wrapper, incorporating all of the original content including 29 excellent black + white photographs featuring rare scenes of terriers and terrier men in action.",140.0,216.0,8.0,1,9781905124336,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9051/9781905124336.jpg,1905124333,9781905124336,en,2005-01-28,2.0,1,"WORKING TERRIERS - Their Management, Training and Work, Etc. (HISTORY OF HUNTING SERIES -TERRIER DOGS)",202.0
[358112],175796,"[1916, 2219]","The Star Wars battles you've always you've always dreamed of are here! Fight for the Rebels or the Empire with up to 40 players in multiplayer matches, along with solo challenges and a co-op matches, along with solo challenges and a co-op mode. Pilot massive AT-ATs, the Millennium Falcon, TIE Fighters, and more. Play as some of your favourite characters, like Darth Vader and Boba Fett.",206.0,282.0,20.07,2,9780744016673,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7440/9780744016673.jpg,744016673,9780744016673,en,2015-11-17,3.83,29,STAR WARS Battlefront Collector's Edition Guide,966.15
[1404],755339,"[2219, 2452, 3385]","This new edition of Dracula adds new letters and recordings, diary entries long thought lost, and documents suppressed by Her Majestys Government until now. From the first tentative contact between British intelligence and the un-dead, to the werewolf of Walpurgisnacht, to the cataclysmic disappearance of Dracula in volcanic fire, read the story youve known for years for the first time.",135.0,198.0,38.0,2,9781908983220,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9089/9781908983220.jpg,1908983221,9781908983220,en,2018-09-01,4.32,47,Dracula Unredacted,635.0
[502026],2268388,"[3036, 2543, 2597]","This fun book gives an exciting overview of the rules, positions, strategies, and equipment in basketball. Dynamic photographs and step-by-step instructions provide tips on shooting, ball handling, passing, rebounding, and defending, as well as helpful pointers for playing each position on the floor. Nutrition and the importance of fair play and teamwork are also included.",220.0,270.0,5.08,1,9780778715573,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7787/9780778715573.jpg,778715574,9780778715573,en,2015-11-01,2.0,1,Full Court Press : Basketball Skills and Drills,136.08
